hotel_id,hotel_name,,,,,,,,,,,,,,,,,,,,,,,,
3454,Aditya Beach Resort,,,,,,,,,,,,,,,,,,,,,,,,
3458,Ahimsa Estate,,,,,,,,,,,,,,,,,,,,,,,,
3459,Airy Aeropolis Residence Suryadarma Tangerang,,,,,,,,,,,,,,,,,,,,,,,,
3456,Adma Umalas,,,,,,,,,,,,,,,,,,,,,,,,
3460,Airy Cicendo Otten 6 Bandung,,,,,,,,,,,,,,,,,,,,,,,,
3461,Airy Cihampelas 225 Bandung,,,,,,,,,,,,,,,,,,,,,,,,
3462,Airy Danurejan Bausasran 34 Yogyakarta,,,,,,,,,,,,,,,,,,,,,,,,
3455,Agung Raka Resort & Villa,,,,,,,,,,,,,,,,,,,,,,,,
3463,NIDA Rooms Pasar Baru Cicendo,,,,,,,,,,,,,,,,,,,,,,,,
3441,Abian Biu Mansion,,,,,,,,,,,,,,,,,,,,,,,,
3466,Airy Denpasar Barat Hasanuddin 4 Bali,,,,,,,,,,,,,,,,,,,,,,,,
3467,Airy Denpasar Barat Gunung Soputan Satu 88A Bali,,,,,,,,,,,,,,,,,,,,,,,,
3434,ZEN Rooms Surawong,,,,,,,,,,,,,,,,,,,,,,,,
3470,Airy Denpasar Barat Nakula Timur 6 Kuta Bali,,,,,,,,,,,,,,,,,,,,,,,,
3468,Airy Cihapit Riau Martadinata 191 Bandung,,,,,,,,,,,,,,,,,,,,,,,,
3471,Airy Denpasar Barat Patih Jelantik 1 Bali,,,,,,,,,,,,,,,,,,,,,,,,
3472,Airy Denpasar Barat Pura Demak 4 Bali,,,,,,,,,,,,,,,,,,,,,,,,
3469,Airy Denpasar Barat Imam Bonjol Budha Cemeng Ukir Bali,,,,,,,,,,,,,,,,,,,,,,,,
3464,Airy Denpasar Barat Imam Bonjol Bali,,,,,,,,,,,,,,,,,,,,,,,,
3476,Airy Denpasar Barat Teuku Umar Barat 350 Bali,,,,,,,,,,,,,,,,,,,,,,,,
3477,Airy Denpasar Selatan Gelogor Carik 103 Bali,,,,,,,,,,,,,,,,,,,,,,,,
3465,Airy Denpasar Barat Gunung Salak 78 Bali,,,,,,,,,,,,,,,,,,,,,,,,
3478,Airy Denpasar Pulau Misol Gang Empat Belas 1 Bali,,,,,,,,,,,,,,,,,,,,,,,,
3475,Airy Denpasar Barat Nakula Timur 7 Bali,,,,,,,,,,,,,,,,,,,,,,,,
3480,Airy Denpasar Selatan Gelogor Carik Bali,,,,,,,,,,,,,,,,,,,,,,,,
3479,Airy Denpasar Selatan Tukad Badung 16 Bali,,,,,,,,,,,,,,,,,,,,,,,,
3481,Airy Denpasar Selatan Tukad Barito 30A Bali,,,,,,,,,,,,,,,,,,,,,,,,
3483,Airy Denpasar Selatan Raya Pemogan 288A Bali,,,,,,,,,,,,,,,,,,,,,,,,
3482,Airy Denpasar Selatan Kerta Bedulu 1 Bali,,,,,,,,,,,,,,,,,,,,,,,,
3484,Airy Gambir Cideng Jakarta,,,,,,,,,,,,,,,,,,,,,,,,
3485,Airy Denpasar Timur Ciung Wanara II Bali,,,,,,,,,,,,,,,,,,,,,,,,
3486,Airy Gasibu Aria Jipang 6 Bandung,,,,,,,,,,,,,,,,,,,,,,,,
3488,Airy Istana Kuta Galeria Patih Jelantik Bali,,,,,,,,,,,,,,,,,,,,,,,,
3487,Airy Fatmawati Abdul Majid Jakarta,,,,,,,,,,,,,,,,,,,,,,,,
3489,RedDoorz @ Istana Kuta Galeria,,,,,,,,,,,,,,,,,,,,,,,,
3490,Airy JEC Raya Janti 22 Yogyakarta,,,,,,,,,,,,,,,,,,,,,,,,
3492,Airy Jimbaran Bantas Kangin 6 Bali,,,,,,,,,,,,,,,,,,,,,,,,
3491,Airy Jimbaran Angkasa 98 Bali,,,,,,,,,,,,,,,,,,,,,,,,
3493,Airy Jimbaran Taman Mulia 8 Bali,,,,,,,,,,,,,,,,,,,,,,,,
3497,Airy Karet Kuningan Anggrek Jakarta,,,,,,,,,,,,,,,,,,,,,,,,
